question,answer,cleaned_question,cleaned_answer
"hi, how are you doing?",i'm fine. how about yourself?,hi,fine
i'm fine. how about yourself?,i'm pretty good. thanks for asking.,fine,pretty good thank ask
i'm pretty good. thanks for asking.,no problem. so how have you been?,pretty good thank ask,problem
no problem. so how have you been?,i've been great. what about you?,problem,great
i've been great. what about you?,i've been good. i'm in school right now.,great,good school right
i've been good. i'm in school right now.,what school do you go to?,good school right,school
what school do you go to?,i go to pcc.,school,pcc
i go to pcc.,do you like it there?,pcc,like
do you like it there?,it's okay. it's a really big campus.,like,okay big campus
it's okay. it's a really big campus.,good luck with school.,okay big campus,good luck school
good luck with school.,thank you very much.,good luck school,thank
how's it going?,i'm doing well. how about you?,go,
i'm doing well. how about you?,"never better, thanks.",,well thank
"never better, thanks.",so how have you been lately?,well thank,lately
so how have you been lately?,i've actually been pretty good. you?,lately,actually pretty good
i've actually been pretty good. you?,i'm actually in school right now.,actually pretty good,actually school right
i'm actually in school right now.,which school do you attend?,actually school right,school attend
which school do you attend?,i'm attending pcc right now.,school attend,attend pcc right
i'm attending pcc right now.,are you enjoying it there?,attend pcc right,enjoy
are you enjoying it there?,it's not bad. there are a lot of people there.,enjoy,bad lot people
it's not bad. there are a lot of people there.,good luck with that.,bad lot people,good luck
good luck with that.,thanks.,good luck,thank
how are you doing today?,i'm doing great. what about you?,today,great
i'm doing great. what about you?,"i'm absolutely lovely, thank you.",great,absolutely lovely thank
"i'm absolutely lovely, thank you.",everything's been good with you?,absolutely lovely thank,good
everything's been good with you?,i haven't been better. how about yourself?,good,well
i haven't been better. how about yourself?,i started school recently.,well,start school recently
i started school recently.,where are you going to school?,start school recently,go school
where are you going to school?,i'm going to pcc.,go school,go pcc
i'm going to pcc.,how do you like it so far?,go pcc,like far
how do you like it so far?,i like it so far. my classes are pretty good right now.,like far,like far class pretty good right
i like it so far. my classes are pretty good right now.,i wish you luck.,like far class pretty good right,wish luck
it's an ugly day today.,i know. i think it may rain.,ugly day today,know think rain
i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today.",know think rain,middle summer rain today
"it's the middle of summer, it shouldn't rain today.",that would be weird.,middle summer rain today,weird
that would be weird.,"yeah, especially since it's ninety degrees outside.",weird,yeah especially ninety degree outside
"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside.",yeah especially ninety degree outside,know horrible rain hot outside
"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. ",know horrible rain hot outside,yes
"yes, it would be. ",i really wish it wasn't so hot every day. ,yes,wish hot day
i really wish it wasn't so hot every day. ,me too. i can't wait until winter.,wish hot day,wait winter
me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold.",wait winter,like winter get cold
"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.,like winter get cold,cold hot
i'd rather be cold than hot.,me too.,cold hot,
it doesn't look very nice outside today.,you're right. i think it's going to rain later.,look nice outside today,right think go rain later
you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining.",right think go rain later,middle summer rain
"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.,middle summer rain,right
that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird.",right,consider ninety degree outside weird
"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot.",consider ninety degree outside weird,exactly nice start rain hot
"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right.",exactly nice start rain hot,know absolutely right
"i know, you're absolutely right.",i wish it would cool off one day.,know absolutely right,wish cool day
i wish it would cool off one day.,"that's how i feel, i want winter to come soon.",wish cool day,feel want winter come soon
"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes.",feel want winter come soon,enjoy winter get cold
"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot.",enjoy winter get cold,know mean cold hot
"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.,know mean cold hot,exactly feel
i wish it was a nicer day today.,that is true. i hope it doesn't rain.,wish nicer day today,true hope rain
that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.,true hope rain,rain middle summer
it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.,rain middle summer,right start rain right
it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.,right start rain right,weird start rain ninety degree weather
it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.,weird start rain ninety degree weather,rain right pointless
any rain right now would be pointless.,"that's right, it really would be.",rain right pointless,right
"that's right, it really would be.",i want it to cool down some.,right,want cool
i want it to cool down some.,"i know what you mean, i can't wait until it's winter.",want cool,know mean wait winter
"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.,know mean wait winter,winter great wish cold
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.,winter great wish cold,deal winter summer
it's such a nice day.,"yes, it is.",nice day,yes
"yes, it is.",it looks like it may rain soon.,yes,look like rain soon
it looks like it may rain soon.,"yes, and i hope that it does.",look like rain soon,yes hope
"yes, and i hope that it does.",why is that?,yes hope,
why is that?,i really love how rain clears the air.,,love rain clear air
i really love how rain clears the air.,me too. it always smells so fresh after it rains.,love rain clear air,smell fresh rain
me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains.",smell fresh rain,yes love night air rain
"yes, but i love the night air after it rains.",really? why is it?,yes love night air rain,
really? why is it?,because you can see the stars perfectly.,,star perfectly
because you can see the stars perfectly.,i really hope it rains today.,star perfectly,hope rain today
i really hope it rains today.,"yeah, me too.",hope rain today,yeah
isn't it a nice day?,it really is.,nice day,
it really is.,it seems that it may rain today.,,rain today
it seems that it may rain today.,hopefully it will.,rain today,hopefully
hopefully it will.,how come?,hopefully,come
how come?,i like how clear the sky gets after it rains.,come,like clear sky get rain
i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.,like clear sky get rain,feel way smell good rain
i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.,feel way smell good rain,especially love night air rain
i especially love the night air when it rains.,really? why?,especially love night air rain,
really? why?,the stars look so much closer after it rains.,,star look close rain
the stars look so much closer after it rains.,i really want it to rain today.,star look close rain,want rain today
i really want it to rain today.,"yeah, so do i.",want rain today,yeah
don't you think it's nice out?,"yes, i think so too.",think nice,yes think
"yes, i think so too.",i think that it's going to rain.,yes think,think go rain
i think that it's going to rain.,i hope that it does rain.,think go rain,hope rain
i hope that it does rain.,you like the rain?,hope rain,like rain
you like the rain?,the sky looks so clean after it rains. i love it.,like rain,sky look clean rain love
the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.,sky look clean rain love,understand rain smell clean
i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.,understand rain smell clean,love night rain
i love most how it is at night after it rains.,how come?,love night rain,come
how come?,you can see the stars so much more clearly after it rains.,come,star clearly rain
you can see the stars so much more clearly after it rains.,i would love for it to rain today.,star clearly rain,love rain today
i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?,want beach weekend,sound like fun weather go like
that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.,sound like fun weather go like,hear go warm weekend
i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?,hear go warm weekend,go perfect beach weather
is it going to be perfect beach weather?,i believe so.,go perfect beach weather,believe
i believe so.,good. i hope it doesn't cool off this weekend.,believe,good hope cool weekend
good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.,good hope cool weekend,know want beach
